Created as New Dataset,Sample 2528 By Analyst Date Thursday, December 19 2024
nm,INT
509.6,12145
509.7,12157
509.8,12171
509.9,12184
510.0,12195
510.1,12205
510.2,12215
510.3,12225
510.4,12235
510.5,12242
510.6,12248
510.7,12253
510.8,12257
510.9,12263
511.0,12270
511.1,12276
511.2,12283
511.3,12289
511.4,12299
511.5,12309
511.6,12319
511.7,12329
511.8,12338
511.9,12349
512.0,12359
512.1,12370
512.2,12381
512.3,12390
512.4,12400
512.5,12407
512.6,12416
512.7,12425
512.8,12432
512.9,12440
513.0,12447
513.1,12456
513.2,12465
513.3,12473
513.4,12480
513.5,12488
513.6,12498
513.7,12510
513.8,12522
513.9,12532
514.0,12543
514.1,12555
514.2,12567
514.3,12582
514.4,12596
514.5,12608
514.6,12619
514.7,12630
514.8,12643
514.9,12656
515.0,12666
515.1,12676
515.2,12686
515.3,12695
515.4,12707
515.5,12721
515.6,12733
515.7,12746
515.8,12759
515.9,12775
516.0,12791
516.1,12807
516.2,12824
516.3,12841
516.4,12859
516.5,12877
516.6,12897
516.7,12915
516.8,12935
516.9,12955
517.0,12974
517.1,12995
517.2,13017
517.3,13037
517.4,13056
517.5,13076
517.6,13097
517.7,13119
517.8,13137
517.9,13153
518.0,13170
518.1,13189
518.2,13207
518.3,13223
518.4,13238
518.5,13253
518.6,13268
518.7,13285
518.8,13301
518.9,13313
519.0,13325
519.1,13334
519.2,13343
519.3,13354
519.4,13364
519.5,13370
519.6,13375
519.7,13378
519.8,13383
519.9,13386
520.0,13387
520.1,13385
520.2,13380
520.3,13374
520.4,13368
520.5,13360
520.6,13347
520.7,13332
520.8,13315
520.9,13299
521.0,13281
521.1,13262
521.2,13241
521.3,13220
521.4,13200
521.5,13182
521.6,13165
521.7,13148
521.8,13130
521.9,13113
522.0,13096
522.1,13082
522.2,13069
522.3,13056
522.4,13042
522.5,13030
522.6,13019
522.7,13009
522.8,12997
522.9,12985
523.0,12972
523.1,12961
523.2,12949
523.3,12935
523.4,12920
523.5,12905
523.6,12890
523.7,12877
523.8,12866
523.9,12855
524.0,12845
524.1,12838
524.2,12832
524.3,12830
524.4,12831
524.5,12831
524.6,12832
524.7,12834
524.8,12840
524.9,12845
525.0,12850
525.1,12856
525.2,12863
525.3,12871
525.4,12881
525.5,12892
525.6,12902
525.7,12913
525.8,12924
525.9,12938
526.0,12950
526.1,12960
526.2,12969
526.3,12978
526.4,12987
526.5,12997
526.6,13006
526.7,13013
526.8,13021
526.9,13027
527.0,13033
527.1,13040
527.2,13048
527.3,13054
527.4,13059
527.5,13063
527.6,13068
527.7,13074
527.8,13077
527.9,13079
528.0,13082
528.1,13087
528.2,13091
528.3,13093
528.4,13096
528.5,13099
528.6,13101
528.7,13104
528.8,13106
528.9,13105
529.0,13102
529.1,13100
529.2,13097
529.3,13094
529.4,13090
529.5,13082
529.6,13075
529.7,13068
529.8,13061
529.9,13056
530.0,13052
530.1,13045
530.2,13037
530.3,13029
530.4,13022
530.5,13015
530.6,13007
530.7,12998
530.8,12988
530.9,12980
531.0,12972
531.1,12964
531.2,12956
531.3,12949
531.4,12942
531.5,12938
531.6,12934
531.7,12930
531.8,12925
531.9,12922
532.0,12920
532.1,12920
532.2,12921
532.3,12920
532.4,12919
532.5,12920
532.6,12921
532.7,12923
532.8,12924
532.9,12926
533.0,12929
533.1,12934
533.2,12939
533.3,12943
533.4,12947
533.5,12952
533.6,12958
533.7,12967
533.8,12977
533.9,12986
534.0,12997
534.1,13008
534.2,13020
534.3,13034
534.4,13048
534.5,13062
534.6,13076
534.7,13091
534.8,13105
