URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1228461.495667
Signal Max.	32525129.015537
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.588895	0.204	7908914.910177
4.592297	0.2041	7959699.914108
4.595698	0.2041	7764040.679691
4.599098	0.204	7737156.992832
4.602500	0.2041	7732939.741078
4.605902	0.2041	7993027.426051
4.609302	0.204	7888769.010504
4.612703	0.2041	7710490.433038
4.616103	0.204	7887646.688593
4.619505	0.2041	7856031.767922
4.622907	0.2041	7818371.363040
4.626307	0.204	7821727.396062
4.629708	0.2041	7945038.307093
4.633108	0.204	8005808.225444
4.636510	0.2041	7842536.868606
4.639912	0.2041	7802164.496428
4.643312	0.204	7859897.501772
4.646713	0.2041	7803599.239358
4.650113	0.204	7844012.397879
4.653515	0.2041	7967470.916872
4.656917	0.2041	7910709.573945
4.660317	0.204	7998207.943995
4.663718	0.2041	8093977.230334
4.667118	0.204	8077296.932270
4.670520	0.2041	8138357.967372
4.673922	0.2041	7989931.164902
4.677322	0.204	7873917.559732
4.680723	0.2041	7867622.903972
4.684125	0.2041	7881866.849621
4.687525	0.204	7872529.449719
4.690927	0.2041	7852350.216770
4.694327	0.204	7819081.385774
4.697728	0.2041	7799037.418788
4.701130	0.2041	7945178.156043
4.704530	0.204	7941316.964188
4.707932	0.2041	7907149.891221
4.711332	0.204	8002901.920165
4.714733	0.2041	7989466.124148
4.718135	0.2041	7979712.738868
4.721535	0.204	7874197.729893
4.724937	0.2041	7822983.606686
4.728337	0.204	7957150.697523
4.731738	0.2041	7803709.769311
4.735140	0.2041	7832686.535581
4.738540	0.204	7882079.878055
4.741942	0.2041	7810450.477065
4.745343	0.2041	8102467.591194
4.748743	0.204	7988994.196622
4.752145	0.2041	8028178.111745
4.755545	0.204	8367324.457529
4.758947	0.2041	8099657.133552
4.762348	0.2041	7918419.904551
4.765748	0.204	8017488.407732
4.769150	0.2041	8120892.349829
4.772550	0.204	8148483.675190
4.775952	0.2041	8039480.369836
4.779353	0.2041	7994000.201015
4.782753	0.204	8020979.769380
